atlas_id,region,region_name,site_code,location,lat_dmm,lon_dmm,lat,lon,species_codes,species,count_class,tidal_use,tidal_use_full,description
1,1,Columbia River,01.01,Large Navigation Bouy,46 12.17,124 11.00,46.20283,-124.18333,"ZC,EJ",California Sea Lion; Steller Sea Lion,100-500,ALL,All tidal states,Offshore navigation bouy (LNB) removed in early 1990’s.
2,1,Columbia River,01.02,Tip of South Jetty,46 14.03,124 03.94,46.23383,-124.06567,"EJ,ZC,PV",Steller Sea Lion; California Sea Lion; Harbor Seal,100-500,ALL,All tidal states,Year round on concrete slabs and rock rubble. Abandoned during high ocean swell.
3,1,Columbia River,01.03,Chinook/Baker Bay,46 15.90,123 57.89,46.265,-123.96483,PV,Harbor Seal,<100,LOW,Low tide,Chinook Channel area. Intermittent use at low tides.
4,1,Columbia River,01.03,Chinook/Baker Bay,46 15.74,123 57.63,46.26233,-123.9605,PV,Harbor Seal,<100,LOW,Low tide,On shoals northwest of entrance channel. Intermittent use at low tides.
5,1,Columbia River,01.04,Desdemona Sands,46 12.80,123 55.90,46.21333,-123.93167,PV,Harbor Seal,100-500,LOW,Low tide,Shoal to the west of Astoria/Megler bridge. Alternate site used intermittently.
6,1,Columbia River,01.04,Desdemona Sands,46 13.19,123 53.61,46.21983,-123.8935,PV,Harbor Seal,<100,LOW,Low tide,Shoals west of Astoria/Megler bridge. Alternate site used intermittently on extreme low tides.
7,1,Columbia River,01.04,Desdemona Sands,46 12.73,123 53.33,46.21217,-123.88883,PV,Harbor Seal,500>,LOW,Low tide,Shoals west of Astoria/Megler bridge. Main lower river haulout.
8,1,Columbia River,01.05,Taylor Sands,46 14.20,123 48.40,46.23667,-123.80667,PV,Harbor Seal,500>,LOW,Low tide,Shoals north of Taylor Sands channel. Used extensively in 1980’s.
9,1,Columbia River,01.06,Grays Bay,46 16.14,123 42.42,46.269,-123.707,PV,Harbor Seal,<100,LOW,Low tide,Intermittent use of shoal area.
10,1,Columbia River,01.06,Grays Bay,46 16.71,124 43.54,46.2785,-124.72567,PV,Harbor Seal,<100,LOW,Low tide,Year round on intertidal sand bars.
11,1,Columbia River,01.06,Grays Bay,46 16.50,123 43.54,46.275,-123.72567,PV,Harbor Seal,<100,LOW,Low tide,Year round on intertidal sand bars.
12,1,Columbia River,01.07,Cathlamet Bay,46 12.31,123 39.56,46.20517,-123.65933,PV,Harbor Seal,100-500,LOW,Low tide,Exposed channels along Sanborn Slough.
13,1,Columbia River,01.07,Cathlamet Bay,46 12.99,123 41.74,46.2165,-123.69567,PV,Harbor Seal,<100,LOW,Low tide,Along shoals west of Green Island. Intermittent during pupping season.
14,1,Columbia River,01.07,Cathlamet Bay,46 12.86,123 40.50,46.21433,-123.675,PV,Harbor Seal,<100,LOW,Low tide,Exposed channels north of Green Island during pupping season. Nursery area.
15,1,Columbia River,01.08,Lower Woody/Snag Island,46 13.40,123 37.55,46.22333,-123.62583,PV,Harbor Seal,<100,LOW,Low tide,Shoals southwest of Snag Island.
16,1,Columbia River,01.08,Lower Woody/Snag Island,46 13.95,123 37.10,46.2325,-123.61833,PV,Harbor Seal,<100,LOW,Low tide,Along northeast side of Snag Island (near line of pilings).
17,1,Columbia River,01.08,Lower Woody/Snag Island,46 13.92,123 36.59,46.232,-123.60983,PV,Harbor Seal,<100,LOW,Low tide,Shoals in lower Woody Island channel.
18,1,Columbia River,01.09,South of Miller Sands,46 13.87,123 38.84,46.23117,-123.64733,PV,Harbor Seal,<100,LOW,Low tide,Along shoals on south side during winter and early spring.
