id,parent_id,scientific_name,vernacular_name,rank
41479,1317261,Delphinidae,Oceanic Dolphins,family
41567,424321,Balaenidae,Bowhead and Right Whales,family
41568,41567,Eubalaena,Right Whales,genus
41513,1317265,Cephalorhynchus,Blunt-nosed dolphins,genus
41515,41513,Cephalorhynchus hectori,Hector's Dolphin,species
41463,846055,Kogia,Dwarf and Pygmy Sperm Whales,genus
41464,41463,Kogia breviceps,Pygmy Sperm Whale,species
41534,41533,Feresa attenuata,Pygmy Killer Whale,species
41533,1317266,Feresa,,genus
41569,41568,Eubalaena japonica,North Pacific Right Whale,species
1317261,424322,Delphinoidea,Oceanic Dolphins and Porpoises,superfamily
1317266,41479,Globicephalinae,Pilot Whales and allies,subfamily
1317265,41479,Lissodelphininae,Right Whale Dolphins and allies,subfamily
1317258,424322,Physeteroidea,Sperm Whales,superfamily
1317256,424322,Ziphioidea,Beaked Whales,superfamily
1052880,41515,Cephalorhynchus hectori hectori,Hector's Dolphin (Hector's),subspecies
1272846,46307,Hydrodamalinae,Steller's Sea Cows,subfamily
848317,40151,Theria,Therians,subclass
848320,848317,Placentalia,Placental Mammals,infraclass
848324,848320,Laurasiatheria,"Ungulates, Carnivorans, and Allies",superorder
372843,41573,Phocoidea,Pinnipeds,superfamily
925158,152870,Whippomorpha,Cetaceans and Hippopotamuses,suborder
424322,152871,Odontoceti,Toothed Whales,parvorder
848321,848320,Afrotheria,Afromammals,superorder
424321,152871,Mysticeti,Baleen Whales,parvorder
846236,46307,Dugonginae,Dugongs,subfamily
846055,1317258,Kogiidae,Dwarf and Pygmy Sperm Whales,family
41573,848324,Carnivora,Carnivorans,order
41687,372843,Phocidae,Earless Seals,family
41736,372843,Otariidae,Eared Seals,family
41741,41736,Arctocephalus,Southern Fur Seals,genus
41727,41687,Mirounga,Elephant Seals,genus
46306,848321,Sirenia,Sirenians,order
41728,41727,Mirounga angustirostris,Northern Elephant Seal,species
41751,41741,Arctocephalus gazella,Antarctic Fur Seal,species
41730,41687,Leptonychotes,Weddell Seals,genus
41731,41730,Leptonychotes weddellii,Weddell Seal,species
1,48460,Animalia,Animals,kingdom
2,1,Chordata,Chordates,phylum
40151,355675,Mammalia,Mammals,class
41457,1317261,Monodontidae,Narwhals and Belugas,family
41401,1317256,Ziphiidae,Beaked Whales,family
41419,41401,Hyperoodon,Bottlenose Whales,genus
41421,41419,Hyperoodon ampullatus,North Atlantic Bottlenose Whale,species
41458,41457,Monodon,Narwhals,genus
41459,41458,Monodon monoceros,Narwhal,species
48460,,Life,life,stateofmatter
355675,2,Vertebrata,Vertebrates,subphylum
152870,848324,Artiodactyla,Even-toed Ungulates and Cetaceans,order
152871,925158,Cetacea,Cetaceans,infraorder
46307,46306,Dugongidae,Dugongs,family
46310,846236,Dugong,,genus
46311,46310,Dugong dugon,Dugong,species
46308,1272846,Hydrodamalis,Sea Cows,genus
46309,46308,Hydrodamalis gigas,Steller's Sea Cow,species
147579,41515,Cephalorhynchus hectori maui,Maui's Dolphin,subspecies
3,355675,Aves,Birds,class
2114,3,Coraciiformes,"Kingfishers, Bee-eaters, Rollers And Allies",order
2314,2114,Alcedinidae,Kingfishers,family
1623,3,Cuculiformes,Cuckoos,order
1627,1623,Cuculidae,Cuckoos,family
1628,1541352,Centropus,Coucals,genus
2422,1542375,Actenoides,Wood Kingfishers,genus
2427,2422,Actenoides monachus,Green-backed Kingfisher,species
1653,1628,Centropus monachus,Blue-headed Coucal,species
5067,71261,Accipitridae,"Hawks, Eagles, and Kites",family
4262,71268,Phalacrocoracidae,Cormorants and Shags,family
3806,67564,Spheniscidae,Penguins,family
5380,1541533,Aegypius,,genus
3807,3806,Pygoscelis,Brush-tailed Penguins,genus
3808,3807,Pygoscelis papua,Gentoo Penguin,species
3819,3806,Aptenodytes,Great Penguins,genus
3821,3819,Aptenodytes patagonicus,King Penguin,species
3810,3807,Pygoscelis adeliae,Adelie Penguin,species
3820,3819,Aptenodytes forsteri,Emperor Penguin,species
7251,3,Passeriformes,Perching Birds,order
16768,980017,Tyrannus,Kingbirds,genus
12160,7251,Meliphagidae,Honeyeaters,family
8073,71296,Artamus,Woodswallows,genus
12319,12160,Philemon,Typical Friarbirds,genus
5382,5380,Aegypius monachus,Cinereous Vulture,species
12329,12319,Philemon corniculatus,Noisy Friarbird,species
